# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
16.00 ,22356898279.00 ,0.71 ,767756388.00 ,7.07 ,3285810146.00 ,5.79 ,9275105349.00 ,8.27 ,770418727.00 ,7.07 ,1.16 
16.00 ,177362430931.00 ,0.76 ,6148585400.00 ,7.15 ,26122332815.00 ,5.83 ,73324375730.00 ,8.38 ,6164450725.00 ,7.16 ,1.75 
32.00 ,362917393.00 ,1.10 ,12195929.00 ,2.33 ,54458771.00 ,5.87 ,149459220.00 ,8.04 ,12058955.00 ,2.32 ,0.23 
32.00 ,2847540802.00 ,0.84 ,95609733.00 ,6.60 ,416974092.00 ,5.70 ,1186204122.00 ,8.05 ,96523793.00 ,6.63 ,1.46 
32.00 ,22356898279.00 ,0.71 ,767756388.00 ,7.07 ,3285810146.00 ,5.79 ,9275105349.00 ,8.27 ,770418727.00 ,7.07 ,1.74 
32.00 ,177362430931.00 ,0.76 ,6148585400.00 ,7.15 ,26122332815.00 ,5.83 ,73324375730.00 ,8.38 ,6164450725.00 ,7.16 ,1.93 
1.00 ,10247773.00 ,0.70 ,94757.00 ,7.51 ,941450.00 ,10.26 ,5554103.00 ,0.69 ,91149.00 ,1.52 ,1.00 
1.00 ,248061922.00 ,1.25 ,1430511.00 ,10.25 ,25610622.00 ,3.79 ,77005535.00 ,2.80 ,3024244.00 ,13.93 ,1.00 
1.00 ,4010947948.00 ,1.04 ,56676134.00 ,9.58 ,417909282.00 ,1.76 ,1337373295.00 ,1.98 ,55545274.00 ,9.24 ,1.00 
1.00 ,69921277205.00 ,1.19 ,1005964272.00 ,8.35 ,7132974767.00 ,2.93 ,22614146768.00 ,1.95 ,1004768912.00 ,8.36 ,1.00 
4.00 ,10247773.00 ,0.70 ,94757.00 ,7.51 ,941450.00 ,10.26 ,5554103.00 ,0.69 ,91149.00 ,1.52 ,0.34 
4.00 ,248061922.00 ,1.25 ,1430511.00 ,10.25 ,25610622.00 ,3.79 ,77005535.00 ,2.80 ,3024244.00 ,13.93 ,0.80 
4.00 ,4010947948.00 ,1.04 ,56676134.00 ,9.58 ,417909282.00 ,1.76 ,1337373295.00 ,1.98 ,55545274.00 ,9.24 ,1.30 
4.00 ,69921277205.00 ,1.19 ,1005964272.00 ,8.35 ,7132974767.00 ,2.93 ,22614146768.00 ,1.95 ,1004768912.00 ,8.36 ,1.40 
8.00 ,10247773.00 ,0.70 ,94757.00 ,7.51 ,941450.00 ,10.26 ,5554103.00 ,0.69 ,91149.00 ,1.52 ,0.29 
8.00 ,248061922.00 ,1.25 ,1430511.00 ,10.25 ,25610622.00 ,3.79 ,77005535.00 ,2.80 ,3024244.00 ,13.93 ,1.06 
8.00 ,4010947948.00 ,1.04 ,56676134.00 ,9.58 ,417909282.00 ,1.76 ,1337373295.00 ,1.98 ,55545274.00 ,9.24 ,1.79 
