# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
4,9.36129E+11,1.30834E+11,0.139761133,5949491857,2476197826,41.62032465,19344748719,1016374705,5.254008309,75218423374,3488026739,4.637197355,4432732141,2249508361,50.74767185,0.898556802
8,7729224054,3073891489,0.397697294,104970867,16138284,15.37405993,670879256,30130729,4.49122979,1483588783,58418999,3.937681362,94545740,16226295,17.16237559,0.945652118
8,16582902303,5233108622,0.315572541,197848224,39911844,20.17296046,1153210632,55861323,4.843982656,2625467071,119591922,4.555072251,178709137,39311844,21.99766876,0.874021324
8,36105185859,9280689682,0.257045891,392927556,89084732,22.67205001,2020160892,108324534,5.362173599,4657942512,232931376,5.000735312,340222021,85899563,25.24809028,0.943238115
8,9.36129E+11,1.30834E+11,0.139761133,5949491857,2476197826,41.62032465,19344748719,1016374705,5.254008309,75218423374,3488026739,4.637197355,4432732141,2249508361,50.74767185,0.640405726
16,7729224054,3073891489,0.397697294,104970867,16138284,15.37405993,670879256,30130729,4.49122979,1483588783,58418999,3.937681362,94545740,16226295,17.16237559,0.92248228
16,16582902303,5233108622,0.315572541,197848224,39911844,20.17296046,1153210632,55861323,4.843982656,2625467071,119591922,4.555072251,178709137,39311844,21.99766876,0.880362449
16,36105185859,9280689682,0.257045891,392927556,89084732,22.67205001,2020160892,108324534,5.362173599,4657942512,232931376,5.000735312,340222021,85899563,25.24809028,0.801237136
16,9.36129E+11,1.30834E+11,0.139761133,5949491857,2476197826,41.62032465,19344748719,1016374705,5.254008309,75218423374,3488026739,4.637197355,4432732141,2249508361,50.74767185,0.697256648
32,7729224054,3073891489,0.397697294,104970867,16138284,15.37405993,670879256,30130729,4.49122979,1483588783,58418999,3.937681362,94545740,16226295,17.16237559,1.056238521
32,16582902303,5233108622,0.315572541,197848224,39911844,20.17296046,1153210632,55861323,4.843982656,2625467071,119591922,4.555072251,178709137,39311844,21.99766876,0.78644751
32,36105185859,9280689682,0.257045891,392927556,89084732,22.67205001,2020160892,108324534,5.362173599,4657942512,232931376,5.000735312,340222021,85899563,25.24809028,1.099050503
32,9.36129E+11,1.30834E+11,0.139761133,5949491857,2476197826,41.62032465,19344748719,1016374705,5.254008309,75218423374,3488026739,4.637197355,4432732141,2249508361,50.74767185,0.822311317
1,33005937358,29544167248,0.895116746,477132562,24987303,5.236972906,2455115984,90228809,3.675134274,13010417648,236949526,1.821229206,468310218,25842344,5.518210581,1
1,32236062718,29643751281,0.919583497,498668172,25896576,5.19314796,2437150140,89068895,3.654633071,13017400123,241943352,1.858615005,489721980,26253865,5.360973383,1
1,30999057594,29668778382,0.957086463,479123593,25356959,5.292362841,2504379059,89123533,3.558707803,13081322571,237607728,1.816389182,475052999,26648432,5.609570312,1
1,2.11283E+12,2.20309E+12,1.042721812,32531940126,1715799105,5.274198521,77947601500,1578036431,2.024483628,9.93903E+11,17849458213,1.795895972,32439418465,1704109995,5.253207596,1
4,33005937358,29544167248,0.895116746,477132562,24987303,5.236972906,2455115984,90228809,3.675134274,13010417648,236949526,1.821229206,468310218,25842344,5.518210581,1.098413514
4,32236062718,29643751281,0.919583497,498668172,25896576,5.19314796,2437150140,89068895,3.654633071,13017400123,241943352,1.858615005,489721980,26253865,5.360973383,1.169508704
4,30999057594,29668778382,0.957086463,479123593,25356959,5.292362841,2504379059,89123533,3.558707803,13081322571,237607728,1.816389182,475052999,26648432,5.609570312,0.980297838
4,2.11283E+12,2.20309E+12,1.042721812,32531940126,1715799105,5.274198521,77947601500,1578036431,2.024483628,9.93903E+11,17849458213,1.795895972,32439418465,1704109995,5.253207596,1.345602657
8,33005937358,29544167248,0.895116746,477132562,24987303,5.236972906,2455115984,90228809,3.675134274,13010417648,236949526,1.821229206,468310218,25842344,5.518210581,1.325925024
8,32236062718,29643751281,0.919583497,498668172,25896576,5.19314796,2437150140,89068895,3.654633071,13017400123,241943352,1.858615005,489721980,26253865,5.360973383,1.182756345
8,30999057594,29668778382,0.957086463,479123593,25356959,5.292362841,2504379059,89123533,3.558707803,13081322571,237607728,1.816389182,475052999,26648432,5.609570312,0.813231223
8,2.11283E+12,2.20309E+12,1.042721812,32531940126,1715799105,5.274198521,77947601500,1578036431,2.024483628,9.93903E+11,17849458213,1.795895972,32439418465,1704109995,5.253207596,1.476095783
16,33005937358,29544167248,0.895116746,477132562,24987303,5.236972906,2455115984,90228809,3.675134274,13010417648,236949526,1.821229206,468310218,25842344,5.518210581,1.169635826
16,32236062718,29643751281,0.919583497,498668172,25896576,5.19314796,2437150140,89068895,3.654633071,13017400123,241943352,1.858615005,489721980,26253865,5.360973383,1.140290837
16,30999057594,29668778382,0.957086463,479123593,25356959,5.292362841,2504379059,89123533,3.558707803,13081322571,237607728,1.816389182,475052999,26648432,5.609570312,1.190569901
16,2.11283E+12,2.20309E+12,1.042721812,32531940126,1715799105,5.274198521,77947601500,1578036431,2.024483628,9.93903E+11,17849458213,1.795895972,32439418465,1704109995,5.253207596,1.382720229
