# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
32.00,729417118.00,261827175.00,0.36,3693791.00,302343.00,8.19,15354658.00,13842.00,0.09,95854120.00,2867264.00,2.99,3644541.00,481616.00,13.21,0.82
32.00,2974035709.00,1022681667.00,0.34,14399044.00,1764432.00,12.25,62170291.00,12140.00,0.02,389114585.00,10901945.00,2.80,14549418.00,1802767.00,12.39,1.69
32.00,24640831274.00,8013057352.00,0.33,116245599.00,14265392.00,12.27,501371962.00,39050.00,0.01,2594911201.00,88811305.00,3.42,115849150.00,14210322.00,12.27,3.60
1.00,3211039367.00,1395662255.00,0.43,95628513.00,4846834.00,5.07,99189703.00,409980.00,0.41,621902985.00,61270833.00,9.85,97747450.00,5029871.00,5.15,1.00
1.00,8367820113.00,5215907071.00,0.62,371112292.00,14700338.00,3.96,374134330.00,1277937.00,0.34,2245564962.00,215235398.00,9.58,368409310.00,15132667.00,4.11,1.00
1.00,35539187661.00,20458288857.00,0.58,1402553040.00,102392833.00,7.30,1445495432.00,2636252.00,0.18,8765396950.00,774229345.00,8.83,1399422073.00,101687824.00,7.27,1.00
1.00,162301797795.00,82421898118.00,0.51,5697646297.00,404764242.00,7.10,5864103915.00,8676764.00,0.15,35343251100.00,3531756059.00,9.99,5704461050.00,408222636.00,7.16,1.00
4.00,3211039367.00,1395662255.00,0.43,95628513.00,4846834.00,5.07,99189703.00,409980.00,0.41,621902985.00,61270833.00,9.85,97747450.00,5029871.00,5.15,0.66
4.00,8367820113.00,5215907071.00,0.62,371112292.00,14700338.00,3.96,374134330.00,1277937.00,0.34,2245564962.00,215235398.00,9.58,368409310.00,15132667.00,4.11,0.45
4.00,35539187661.00,20458288857.00,0.58,1402553040.00,102392833.00,7.30,1445495432.00,2636252.00,0.18,8765396950.00,774229345.00,8.83,1399422073.00,101687824.00,7.27,1.00
4.00,162301797795.00,82421898118.00,0.51,5697646297.00,404764242.00,7.10,5864103915.00,8676764.00,0.15,35343251100.00,3531756059.00,9.99,5704461050.00,408222636.00,7.16,1.53
8.00,3211039367.00,1395662255.00,0.43,95628513.00,4846834.00,5.07,99189703.00,409980.00,0.41,621902985.00,61270833.00,9.85,97747450.00,5029871.00,5.15,0.67
8.00,8367820113.00,5215907071.00,0.62,371112292.00,14700338.00,3.96,374134330.00,1277937.00,0.34,2245564962.00,215235398.00,9.58,368409310.00,15132667.00,4.11,0.52
8.00,35539187661.00,20458288857.00,0.58,1402553040.00,102392833.00,7.30,1445495432.00,2636252.00,0.18,8765396950.00,774229345.00,8.83,1399422073.00,101687824.00,7.27,0.92
8.00,162301797795.00,82421898118.00,0.51,5697646297.00,404764242.00,7.10,5864103915.00,8676764.00,0.15,35343251100.00,3531756059.00,9.99,5704461050.00,408222636.00,7.16,1.67
16.00,3211039367.00,1395662255.00,0.43,95628513.00,4846834.00,5.07,99189703.00,409980.00,0.41,621902985.00,61270833.00,9.85,97747450.00,5029871.00,5.15,0.82
16.00,8367820113.00,5215907071.00,0.62,371112292.00,14700338.00,3.96,374134330.00,1277937.00,0.34,2245564962.00,215235398.00,9.58,368409310.00,15132667.00,4.11,0.80
16.00,35539187661.00,20458288857.00,0.58,1402553040.00,102392833.00,7.30,1445495432.00,2636252.00,0.18,8765396950.00,774229345.00,8.83,1399422073.00,101687824.00,7.27,0.92
16.00,162301797795.00,82421898118.00,0.51,5697646297.00,404764242.00,7.10,5864103915.00,8676764.00,0.15,35343251100.00,3531756059.00,9.99,5704461050.00,408222636.00,7.16,1.55
32.00,3211039367.00,1395662255.00,0.43,95628513.00,4846834.00,5.07,99189703.00,409980.00,0.41,621902985.00,61270833.00,9.85,97747450.00,5029871.00,5.15,0.54
32.00,8367820113.00,5215907071.00,0.62,371112292.00,14700338.00,3.96,374134330.00,1277937.00,0.34,2245564962.00,215235398.00,9.58,368409310.00,15132667.00,4.11,0.88
32.00,35539187661.00,20458288857.00,0.58,1402553040.00,102392833.00,7.30,1445495432.00,2636252.00,0.18,8765396950.00,774229345.00,8.83,1399422073.00,101687824.00,7.27,0.98
32.00,162301797795.00,82421898118.00,0.51,5697646297.00,404764242.00,7.10,5864103915.00,8676764.00,0.15,35343251100.00,3531756059.00,9.99,5704461050.00,408222636.00,7.16,1.69
