# Threads,# Instructions,IPC,Cache References,Cache Miss Rate,#Branches,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss Rate,SpeedUp
16.00,29643751281.00,0.92,498668172.00,5.19,2437150140.00,3.65,13017400123.00,1.86,489721980.00,5.36,1.14
16.00,29668778382.00,0.96,479123593.00,5.29,2504379059.00,3.56,13081322571.00,1.82,475052999.00,5.61,1.19
16.00,2203090880584.00,1.04,32531940126.00,5.27,77947601500.00,2.02,993902681032.00,1.80,32439418465.00,5.25,1.38
32.00,29544167248.00,0.90,477132562.00,5.24,2455115984.00,3.68,13010417648.00,1.82,468310218.00,5.52,1.29
32.00,29643751281.00,0.92,498668172.00,5.19,2437150140.00,3.65,13017400123.00,1.86,489721980.00,5.36,0.97
32.00,29668778382.00,0.96,479123593.00,5.29,2504379059.00,3.56,13081322571.00,1.82,475052999.00,5.61,0.98
32.00,2203090880584.00,1.04,32531940126.00,5.27,77947601500.00,2.02,993902681032.00,1.80,32439418465.00,5.25,1.60
1.00,2883609809.00,0.53,61812852.00,5.93,493270223.00,5.43,1273872974.00,2.29,58563093.00,6.55,1.00
1.00,6962543610.00,0.70,112220738.00,6.69,1107066541.00,5.28,2916638440.00,2.16,108017010.00,6.64,1.00
1.00,26831989231.00,0.61,395329737.00,11.99,3809474139.00,5.52,10900271230.00,2.37,381381174.00,12.27,1.00
1.00,1721797640189.00,0.78,19156284297.00,6.20,263802439934.00,5.96,647713451805.00,2.03,19146705056.00,6.17,1.00
4.00,2883609809.00,0.53,61812852.00,5.93,493270223.00,5.43,1273872974.00,2.29,58563093.00,6.55,1.69
4.00,6962543610.00,0.70,112220738.00,6.69,1107066541.00,5.28,2916638440.00,2.16,108017010.00,6.64,1.38
4.00,26831989231.00,0.61,395329737.00,11.99,3809474139.00,5.52,10900271230.00,2.37,381381174.00,12.27,1.53
4.00,1721797640189.00,0.78,19156284297.00,6.20,263802439934.00,5.96,647713451805.00,2.03,19146705056.00,6.17,2.73
8.00,2883609809.00,0.53,61812852.00,5.93,493270223.00,5.43,1273872974.00,2.29,58563093.00,6.55,2.04
8.00,6962543610.00,0.70,112220738.00,6.69,1107066541.00,5.28,2916638440.00,2.16,108017010.00,6.64,1.39
8.00,26831989231.00,0.61,395329737.00,11.99,3809474139.00,5.52,10900271230.00,2.37,381381174.00,12.27,1.57
8.00,1721797640189.00,0.78,19156284297.00,6.20,263802439934.00,5.96,647713451805.00,2.03,19146705056.00,6.17,4.50
16.00,2883609809.00,0.53,61812852.00,5.93,493270223.00,5.43,1273872974.00,2.29,58563093.00,6.55,1.70
16.00,6962543610.00,0.70,112220738.00,6.69,1107066541.00,5.28,2916638440.00,2.16,108017010.00,6.64,1.15
16.00,26831989231.00,0.61,395329737.00,11.99,3809474139.00,5.52,10900271230.00,2.37,381381174.00,12.27,1.42
16.00,1721797640189.00,0.78,19156284297.00,6.20,263802439934.00,5.96,647713451805.00,2.03,19146705056.00,6.17,6.18
32.00,2883609809.00,0.53,61812852.00,5.93,493270223.00,5.43,1273872974.00,2.29,58563093.00,6.55,1.58
32.00,6962543610.00,0.70,112220738.00,6.69,1107066541.00,5.28,2916638440.00,2.16,108017010.00,6.64,1.16
32.00,26831989231.00,0.61,395329737.00,11.99,3809474139.00,5.52,10900271230.00,2.37,381381174.00,12.27,1.39
32.00,1721797640189.00,0.78,19156284297.00,6.20,263802439934.00,5.96,647713451805.00,2.03,19146705056.00,6.17,5.97
1.00,2812441543.00,0.66,45410247.00,8.74,481393536.00,4.46,1176462370.00,1.48,42115028.00,9.39,1.00
1.00,5230861223.00,0.71,57820212.00,7.75,1062937684.00,3.18,2322636888.00,1.41,58375735.00,7.57,1.00
1.00,11040775897.00,0.85,64686471.00,12.04,1635936792.00,4.75,4281054332.00,0.91,65195405.00,12.13,1.00
1.00,1680339396892.00,0.87,3807968631.00,22.32,214897723128.00,6.49,627942653567.00,0.54,3812744613.00,22.47,1.00
4.00,2812441543.00,0.66,45410247.00,8.74,481393536.00,4.46,1176462370.00,1.48,42115028.00,9.39,1.00
4.00,5230861223.00,0.71,57820212.00,7.75,1062937684.00,3.18,2322636888.00,1.41,58375735.00,7.57,0.73
4.00,11040775897.00,0.85,64686471.00,12.04,1635936792.00,4.75,4281054332.00,0.91,65195405.00,12.13,1.00
4.00,1680339396892.00,0.87,3807968631.00,22.32,214897723128.00,6.49,627942653567.00,0.54,3812744613.00,22.47,1.86
8.00,2812441543.00,0.66,45410247.00,8.74,481393536.00,4.46,1176462370.00,1.48,42115028.00,9.39,0.97
8.00,5230861223.00,0.71,57820212.00,7.75,1062937684.00,3.18,2322636888.00,1.41,58375735.00,7.57,1.10
8.00,11040775897.00,0.85,64686471.00,12.04,1635936792.00,4.75,4281054332.00,0.91,65195405.00,12.13,1.19
8.00,1680339396892.00,0.87,3807968631.00,22.32,214897723128.00,6.49,627942653567.00,0.54,3812744613.00,22.47,1.88
16.00,2812441543.00,0.66,45410247.00,8.74,481393536.00,4.46,1176462370.00,1.48,42115028.00,9.39,0.97
16.00,5230861223.00,0.71,57820212.00,7.75,1062937684.00,3.18,2322636888.00,1.41,58375735.00,7.57,0.97
16.00,11040775897.00,0.85,64686471.00,12.04,1635936792.00,4.75,4281054332.00,0.91,65195405.00,12.13,0.98
16.00,1680339396892.00,0.87,3807968631.00,22.32,214897723128.00,6.49,627942653567.00,0.54,3812744613.00,22.47,2.27
32.00,2812441543.00,0.66,45410247.00,8.74,481393536.00,4.46,1176462370.00,1.48,42115028.00,9.39,0.98
32.00,5230861223.00,0.71,57820212.00,7.75,1062937684.00,3.18,2322636888.00,1.41,58375735.00,7.57,0.77
32.00,11040775897.00,0.85,64686471.00,12.04,1635936792.00,4.75,4281054332.00,0.91,65195405.00,12.13,0.89
32.00,1680339396892.00,0.87,3807968631.00,22.32,214897723128.00,6.49,627942653567.00,0.54,3812744613.00,22.47,2.32
1.00,2377933562.00,0.62,62100457.00,5.27,415865542.00,2.82,1098315346.00,2.81,58270250.00,5.43,1.00
1.00,5695100231.00,0.69,121668533.00,13.48,537819921.00,2.36,2574437680.00,2.18,117325572.00,14.37,1.00
1.00,20496727943.00,0.72,377670512.00,19.16,1104936510.00,67762796.20,9676610897.00,1.14,379352958.00,19.56,1.00
1.00,1041582830091.00,0.74,18234460408.00,21.36,43569017868.00,33934004.28,463318141839.00,1.10,18253383223.00,21.41,1.00
4.00,2377933562.00,0.62,62100457.00,5.27,415865542.00,2.82,1098315346.00,2.81,58270250.00,5.43,2.30
4.00,5695100231.00,0.69,121668533.00,13.48,537819921.00,2.36,2574437680.00,2.18,117325572.00,14.37,0.37
4.00,20496727943.00,0.72,377670512.00,19.16,1104936510.00,25935450.54,9676610897.00,1.14,379352958.00,19.56,0.38
4.00,1041582830091.00,0.74,18234460408.00,21.36,43569017868.00,27738213.99,463318141839.00,1.10,18253383223.00,21.41,0.82
8.00,2377933562.00,0.62,62100457.00,5.27,415865542.00,2.82,1098315346.00,2.81,58270250.00,5.43,0.47
8.00,5695100231.00,0.69,121668533.00,13.48,537819921.00,2.36,2574437680.00,2.18,117325572.00,14.37,0.20
8.00,20496727943.00,0.72,377670512.00,19.16,1104936510.00,17930864.11,9676610897.00,1.14,379352958.00,19.56,0.26
8.00,1041582830091.00,0.74,18234460408.00,21.36,43569017868.00,20116218.53,463318141839.00,1.10,18253383223.00,21.41,0.59
16.00,2377933562.00,0.62,62100457.00,5.27,415865542.00,2.82,1098315346.00,2.81,58270250.00,5.43,0.29
16.00,5695100231.00,0.69,121668533.00,13.48,537819921.00,2.36,2574437680.00,2.18,117325572.00,14.37,0.19
16.00,20496727943.00,0.72,377670512.00,19.16,1104936510.00,17399161.94,9676610897.00,1.14,379352958.00,19.56,0.26
16.00,1041582830091.00,0.74,18234460408.00,21.36,43569017868.00,23339804.39,463318141839.00,1.10,18253383223.00,21.41,0.69
32.00,2377933562.00,0.62,62100457.00,5.27,415865542.00,2.82,1098315346.00,2.81,58270250.00,5.43,0.16
32.00,5695100231.00,0.69,121668533.00,13.48,537819921.00,2.36,2574437680.00,2.18,117325572.00,14.37,0.13
32.00,20496727943.00,0.72,377670512.00,19.16,1104936510.00,12921219.44,9676610897.00,1.14,379352958.00,19.56,0.19
32.00,1041582830091.00,0.74,18234460408.00,21.36,43569017868.00,29951091.33,463318141839.00,1.10,18253383223.00,21.41,0.88
1.00,3862433803.00,0.63,59176943.00,5.65,838437715.00,153929055.70,1776479835.00,1.51,54789204.00,5.71,1.00
1.00,8266561228.00,0.78,114346488.00,2.74,1247372755.00,288559182.00,3634807667.00,1.69,110401825.00,2.83,1.00
1.00,588791188.00,0.47,14594560.00,10.38,130143101.00,63826115.24,283478000.00,1.50,12784622.00,11.82,1.00
1.00,1398488912950.00,0.78,14525534581.00,0.09,189390398143.00,409726814.20,595750434267.00,1.56,14565969127.00,0.09,1.00
4.00,3862433803.00,0.63,59176943.00,5.65,838437715.00,178520211.60,1776479835.00,1.51,54789204.00,5.71,1.16
4.00,8266561228.00,0.78,114346488.00,2.74,1247372755.00,340198153.70,3634807667.00,1.69,110401825.00,2.83,1.18
4.00,588791188.00,0.47,14594560.00,10.38,130143101.00,26066400.29,283478000.00,1.50,12784622.00,11.82,0.41
4.00,1398488912950.00,0.78,14525534581.00,0.09,189390398143.00,1692436679.00,595750434267.00,1.56,14565969127.00,0.09,4.13
8.00,3862433803.00,0.63,59176943.00,5.65,838437715.00,229545241.40,1776479835.00,1.51,54789204.00,5.71,1.49
8.00,8266561228.00,0.78,114346488.00,2.74,1247372755.00,422144853.60,3634807667.00,1.69,110401825.00,2.83,1.46
8.00,588791188.00,0.47,14594560.00,10.38,130143101.00,35257304.98,283478000.00,1.50,12784622.00,11.82,0.55
8.00,1398488912950.00,0.78,14525534581.00,0.09,189390398143.00,2111394003.00,595750434267.00,1.56,14565969127.00,0.09,5.15
16.00,3862433803.00,0.63,59176943.00,5.65,838437715.00,174461971.40,1776479835.00,1.51,54789204.00,5.71,1.13
16.00,8266561228.00,0.78,114346488.00,2.74,1247372755.00,312212174.50,3634807667.00,1.69,110401825.00,2.83,1.08
16.00,588791188.00,0.47,14594560.00,10.38,130143101.00,43113678.10,283478000.00,1.50,12784622.00,11.82,0.68
16.00,1398488912950.00,0.78,14525534581.00,0.09,189390398143.00,4468530026.00,595750434267.00,1.56,14565969127.00,0.09,10.91
32.00,3862433803.00,0.63,59176943.00,5.65,838437715.00,187046138.30,1776479835.00,1.51,54789204.00,5.71,1.22
32.00,8266561228.00,0.78,114346488.00,2.74,1247372755.00,380455130.10,3634807667.00,1.69,110401825.00,2.83,1.32
32.00,588791188.00,0.47,14594560.00,10.38,130143101.00,36691256.40,283478000.00,1.50,12784622.00,11.82,0.57
32.00,1398488912950.00,0.78,14525534581.00,0.09,189390398143.00,5190799719.00,595750434267.00,1.56,14565969127.00,0.09,12.67
1.00,5070873955.00,0.86,64819207.00,5.92,707370613.00,122480361.60,1665688470.00,1.80,64117796.00,6.12,1.00
1.00,13081265878.00,1.02,122111264.00,4.77,1563035812.00,121380833.20,3703203041.00,1.69,119340201.00,4.45,1.00
1.00,34292082981.00,1.21,232703464.00,3.71,3844463232.00,99314105.29,9021470385.00,1.23,228844061.00,3.92,1.00
1.00,767479655857.00,1.25,4090934496.00,3.06,83085527048.00,81091216.13,194613758747.00,0.93,4009549534.00,2.96,1.00
4.00,5070873955.00,0.86,64819207.00,5.92,707370613.00,122468679.40,1665688470.00,1.80,64117796.00,6.12,1.00
4.00,13081265878.00,1.02,122111264.00,4.77,1563035812.00,159275518.10,3703203041.00,1.69,119340201.00,4.45,1.31
4.00,34292082981.00,1.21,232703464.00,3.71,3844463232.00,182257187.80,9021470385.00,1.23,228844061.00,3.92,1.84
4.00,767479655857.00,1.25,4090934496.00,3.06,83085527048.00,227604469.40,194613758747.00,0.93,4009549534.00,2.96,2.81
8.00,5070873955.00,0.86,64819207.00,5.92,707370613.00,180116429.80,1665688470.00,1.80,64117796.00,6.12,1.47
8.00,13081265878.00,1.02,122111264.00,4.77,1563035812.00,194859697.40,3703203041.00,1.69,119340201.00,4.45,1.61
8.00,34292082981.00,1.21,232703464.00,3.71,3844463232.00,178495635.20,9021470385.00,1.23,228844061.00,3.92,1.80
8.00,767479655857.00,1.25,4090934496.00,3.06,83085527048.00,238415631.40,194613758747.00,0.93,4009549534.00,2.96,2.94
16.00,5070873955.00,0.86,64819207.00,5.92,707370613.00,160389528.20,1665688470.00,1.80,64117796.00,6.12,1.31
16.00,13081265878.00,1.02,122111264.00,4.77,1563035812.00,139854133.10,3703203041.00,1.69,119340201.00,4.45,1.15
16.00,34292082981.00,1.21,232703464.00,3.71,3844463232.00,90420508.29,9021470385.00,1.23,228844061.00,3.92,0.91
16.00,767479655857.00,1.25,4090934496.00,3.06,83085527048.00,373393974.90,194613758747.00,0.93,4009549534.00,2.96,4.60
32.00,5070873955.00,0.86,64819207.00,5.92,707370613.00,112329564.30,1665688470.00,1.80,64117796.00,6.12,0.92
32.00,13081265878.00,1.02,122111264.00,4.77,1563035812.00,138626183.20,3703203041.00,1.69,119340201.00,4.45,1.14
32.00,34292082981.00,1.21,232703464.00,3.71,3844463232.00,187816530.60,9021470385.00,1.23,228844061.00,3.92,1.89
32.00,767479655857.00,1.25,4090934496.00,3.06,83085527048.00,412844661.30,194613758747.00,0.93,4009549534.00,2.96,5.09
1.00,1927335565.00,0.43,58348354.00,7.63,359758949.00,163872164.80,941409790.00,2.59,55440820.00,8.08,1.00
1.00,5524364383.00,0.76,143954680.00,100.00,580660669.00,305511964.80,2537827569.00,3.00,143437183.00,4.41,1.00
1.00,14396570161.00,0.94,354925495.00,4.12,1120606535.00,410525387.20,6322966681.00,3.38,342420444.00,4.27,1.00
1.00,430618491466.00,0.95,11648383803.00,6.17,24986135231.00,658444929.90,190318789229.00,4.13,11594125685.00,6.21,1.00
4.00,1927335565.00,0.43,58348354.00,7.63,359758949.00,159375032.70,941409790.00,2.59,55440820.00,8.08,0.97
4.00,5524364383.00,0.76,143954680.00,100.00,580660669.00,275578937.60,2537827569.00,3.00,143437183.00,4.41,0.90
4.00,14396570161.00,0.94,354925495.00,4.12,1120606535.00,439816134.80,6322966681.00,3.38,342420444.00,4.27,1.07
4.00,430618491466.00,0.95,11648383803.00,6.17,24986135231.00,1158024381.00,190318789229.00,4.13,11594125685.00,6.21,1.76
8.00,1927335565.00,0.43,58348354.00,7.63,359758949.00,118085525.80,941409790.00,2.59,55440820.00,8.08,0.72
8.00,5524364383.00,0.76,143954680.00,100.00,580660669.00,366400553.60,2537827569.00,3.00,143437183.00,4.41,1.20
8.00,14396570161.00,0.94,354925495.00,4.12,1120606535.00,446848652.50,6322966681.00,3.38,342420444.00,4.27,1.09
8.00,430618491466.00,0.95,11648383803.00,6.17,24986135231.00,1383456804.00,190318789229.00,4.13,11594125685.00,6.21,2.10
16.00,1927335565.00,0.43,58348354.00,7.63,359758949.00,181083689.50,941409790.00,2.59,55440820.00,8.08,1.11
16.00,5524364383.00,0.76,143954680.00,100.00,580660669.00,303594077.40,2537827569.00,3.00,143437183.00,4.41,0.99
16.00,14396570161.00,0.94,354925495.00,4.12,1120606535.00,407703176.80,6322966681.00,3.38,342420444.00,4.27,0.99
16.00,430618491466.00,0.95,11648383803.00,6.17,24986135231.00,1613337449.00,190318789229.00,4.13,11594125685.00,6.21,2.45
32.00,1927335565.00,0.43,58348354.00,7.63,359758949.00,111465186.60,941409790.00,2.59,55440820.00,8.08,0.68
32.00,5524364383.00,0.76,143954680.00,100.00,580660669.00,270111942.30,2537827569.00,3.00,143437183.00,4.41,0.88
32.00,14396570161.00,0.94,354925495.00,4.12,1120606535.00,488806580.40,6322966681.00,3.38,342420444.00,4.27,1.19
32.00,430618491466.00,0.95,11648383803.00,6.17,24986135231.00,1782561832.00,190318789229.00,4.13,11594125685.00,6.21,2.71
